date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:41	6511/6511	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2007:27:10%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/sign-in.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/sign-in.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:42	6782/6782	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2007:27:10%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/sign-up.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/sign-up.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:42	5404/5404	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2007:27:10%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-recoverpw.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-recoverpw.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:42	5104/5104	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2007:27:10%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-confirm-mail.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-confirm-mail.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:43	5267/5267	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2007:27:10%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-lock-screen.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-lock-screen.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:43	73893/73893	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-timeline.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-timeline.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:43	71925/71925	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-invoice.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-invoice.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:44	62298/62298	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/blank-page.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/blank-page.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:44	2747/2747	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2007:27:10%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-error.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-error.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:44	2714/2714	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2007:27:10%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-error-500.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-error-500.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:45	68433/68433	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-pricing.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-pricing.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:45	70112/70112	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2005:52:12%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-pricing-one.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-pricing-one.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
16:08:45	4687/4687	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2007:27:10%20GMT	https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-maintenance.html	C:/My%20Web%20Sites/project-network-3/templates.iqonic.design/socialv/bs5/html/dist/dashboard/pages-maintenance.html	(from https://templates.iqonic.design/socialv/bs5/html/dist/dashboard/index.html)
